Publication Year,Author,Title,Publication Title,DOI,Pages,Issue,Volume,Manual Tags
2008,"Zhao, Jun-Meng; Cheng, Hong-Gang; Pei, Shun-Ping; Liu, Hong-Bing; Zhang, JianShi; Liu, Bao-Feng",Deep structure at northern margin of Tarim Basin,Chinese Science Bulletin,10.1007/s11434-008-0117-8,1544-1554,10 ,53,#DSS; #拜城-大柴旦; #Tarim
2005,"Zhang, Zhong-Jie; Bai, Zhi-Ming; Wang, Chun-Yong; Teng, Ji-Wen; Lü, Qing-Tian; Li, Ji-Liang; Liu, Yi-Feng; Liu, Zhen-Kuan","The crustal structure under Sanjiang and its dynamic implications: Revealed by seismic reflection/refraction profile between Zhefang and Binchuan, Yunnan",Science in China Series D-Earth Sciences (in Chinese),10.1360/03zd0545,314-319,4 ,35,#遮放-宾川; #DSS
2001,"Zhang, Zhong-Jie; Li, Ying-Kang; Wang, Guang-Jie; Teng, Ji-Wen; Klemperer, Simon L.; Li, Jing-Wei; Fan, Jing-Yi; Chen, Yun",East-west crustal structure and “down-bowing” Moho under northern Tibet revealed by wide-angle seismic profile,Science in China Series D-Earth Sciences (in Chinese),10.1360/zd2001-31-11-881,881-888,11 ,31,#DSS; #色林错-雅安多
2002,"Zhang, Zhong-Jie; Teng, Ji-Wen; Li, Ying-Kang; Klemperer, Simon L.; Yang, Li-Qiang",Crustal structure and eastwards escaping of crustal material from wide-angle seismic profile in southern Tibet.,Science in China Series D-Earth Sciences (in Chinese),10.1360/zd2002-32-10-793,793-798,10 ,32,#Tibet; #佩枯错-普莫雍错; #DSS
2014,"Jia, Shi-Xu; Liu, Bao-Jin; Xu, Zhao-Fan; Liu, Zhi; Feng, ShaoYing; Zhang, Jian-Shi; Lin, Ji-Yan; Tian, Xiao-Feng; Liu, Qiao-Xia; Guo, Wen-Bin",The crustal structures of the central Longmenshan along and its margins as related to the seismotectonics of the 2008 Wenchuan Earthquake,Science China Earth Sciences,10.1007/s11430-013-4744-9,777-790,4 ,57,#阿坝-遂宁; #DSS
2015,"Xu, Tao; Zhang, ZhongJie; Liu, BaoFeng; Chen, Yun; Zhang, MingHui; Tian, XiaoBo; Xu, YiGang; Teng, JiWen",Crustal velocity structure in the Emeishan large igneous province and evidence of the Permian mantle plume activity,Science China Earth Sciences,10.1007/s11430-015-5094-6,1133-1147,7 ,58,#SE Tibet; #DSS; #丽江-清镇
2010,"Makarov, V. I.; Alekseev, D. V.; Batalev, V. Yu.; Bataleva, E. A.; Belyaev, I. V.; Bragin, V. D.; Dergunov, N. T.; Efimova, N. N.; Leonov, M. G.; Munirova, L. M.; Pavlenkin, A. D.; Roecker, S.; Roslov, Yu. V.; Rybin, A. K.; Shchelochkov, G. G.",Underthrusting of Tarim beneath the Tien Shan and deep structure of their junction zone: Main results of seismic experiment along MANAS Profile Kashgar-Song-Köl,Geotectonics,10.1134/S0016852110020020,102-126,2 ,44,#DSS; #Tarim; #MANAS; #Tien-Shan
2009,"Zhang, Zhong-Jie; Bai, Zhi-Ming; Mooney, Walter; Wang, Chun-Yong; Chen, Xue-Bo; Wang, Er-chie; Teng, Ji-Wen; Okaya, Nihal","Crustal structure across the Three Gorges area of the Yangtze platform, central China, from seismic refraction/wide-angle reflection data",Tectonophysics,10.1016/j.tecto.2009.05.022,423-437,3 ,475,#Yangtze; #DSS; #三峡
2008,"Zhang, Xian-Kang; Qu, Guo-Sheng; Zhao, Jin-Ren",Seismic Detection of Deep Structures in Junggar Basin,Xinjiang Petroleum Geology,,675.00 ,6 ,29,#吉木萨尔－博格达; #额敏-奇台
2013,"Zhao, Junmeng; Jin, Zhijun; Mooney, Walter D.; Okaya, Nihal; Wang, Shangxu; Gao, Xing; Tang, Liangjie; Pei, Shunping; Liu, Hongbing; Xu, Qiang",Crustal structure of the central Qaidam basin imaged by seismic wide-angle reflection/refraction profiling,Tectonophysics,10.1016/j.tecto.2012.09.005,174-190,,584,#花海子-格尔木
2014,"Zhang, Jian-Shi; Wang, Fu-Yun; Liu, Bao-Feng; Wang, Shuai-Jun; Zhao, Jin-Ren; Zhang, Cheng-Ke; Li, Yi-Qing; Liu, Qiao-Xia; Liu, Lan",A study of the crust-mantle velocity sturcture beneath the Yushu earquake zone and its adjacent areas,Seismology and Geology,10.3969/j.issn.0253-4967.2014.02.004,322.00 ,2 ,36,#DSS; #囊谦-花石峡
2003,"Zhao, Jun-Meng; Liu, Guo-Dong; Lu, Zao-Xun; Zhang, Xian-Kang; Zhao, Guo-Ze",Lithospheric structure and dynamic processes of the Tianshan orogenic belt and the Junggar basin,Tectonophysics,10.1016/j.tecto.2003.07.001,199-239,3 ,376,#DSS; #莎车-布尔津
2006,"Zhao, Jun-Meng; Mooney, Walter D.; Zhang, Xian-Kang; Li, Zhi-Chun; Jin, Zhi-Jun; Okaya, Nihal",Crustal structure across the Altyn Tagh Range at the northern margin of the Tibetan Plateau and tectonic implications,Earth and Planetary Science Letters,10.1016/j.epsl.2005.11.003,804-814,44989 ,241,#DSS; #拜城-大柴旦
2000,"Xiong, Shao-Bai; Liu, Hong-Bing",Crust Mantle Structure of Zhejiang Anhui Region and the Boundary between Yangzi Block and Huanan Block,Progress in Geophysics,,45002.00 ,4 ,15,#屯溪-温州; #DSS
